team,elo,form
Spain,2041.046091862922,2.4
Argentina,2034.8384001298125,2.35
France,1995.4714105498592,2.25
Portugal,1924.26540724624,1.95
Brazil,1921.7356460647925,1.6
England,1918.7072596519372,2.6
Germany,1914.6754944233955,1.9
Netherlands,1912.9737518416548,2.3
Colombia,1909.416490921157,1.7
Morocco,1908.910022432405,2.6
Japan,1906.758519559904,1.8
Croatia,1879.6920752560732,2.25
Ecuador,1876.0329292524211,1.5
Italy,1862.235717880216,2.05
Uruguay,1846.3926810796,1.4500000000000002
Mexico,1842.957399745365,1.5
Senegal,1839.7875899927512,2.35
Belgium,1838.8966166502312,2.1
Turkey,1836.9834293195768,2.2
Denmark,1829.817347252956,2.0
Switzerland,1826.627646687375,2.35
Austria,1813.32585443878,2.1
South Korea,1811.81119864452,1.95
Iran,1811.3998930915652,1.65
Norway,1810.2804114714304,2.65
Australia,1808.8187740629448,2.1500000000000004
Canada,1803.193773061106,1.9
Algeria,1801.37940969739,2.45
United States,1800.2962354770168,1.4
Russia,1784.8238841419643,2.35
Paraguay,1783.5169228852214,1.7
Uzbekistan,1775.1277763321186,1.85
Serbia,1761.1434304617287,1.65
Nigeria,1752.4951107053826,2.4
Ukraine,1751.6947414167937,1.5
Poland,1751.6479484690578,2.3
Jersey,1750.191007135806,2.9
Egypt,1743.8839861893205,1.7000000000000002
Ivory Coast,1742.0091922743284,2.25
Sweden,1740.6253291900543,1.25
Basque Country,1730.098050887222,2.2
Venezuela,1729.6414701591143,1.05
Hungary,1729.2581984365142,1.15
Czech Republic,1729.1952955328882,1.85
Panama,1728.073442154894,1.75
Chile,1726.7369145255109,1.4
Greece,1725.1687093263845,1.6
Scotland,1714.433520916194,1.75
Slovenia,1712.6314843852188,1.35
Iraq,1705.2044967154395,2.15
Tunisia,1699.3569003752118,1.85
Wales,1696.1067533335522,1.4
Jordan,1695.9017786535678,1.55
Kosovo,1688.755583274704,2.3
Guernsey,1688.2905068745815,1.85
DR Congo,1683.3243727105666,2.0
Catalonia,1680.709749053131,1.75
Republic of Ireland,1678.0288809210724,1.7000000000000002
Peru,1672.3655246390113,0.6
Costa Rica,1669.6643356824793,1.65
Slovakia,1666.870271866397,1.4
Cameroon,1661.7216756857065,1.5499999999999998
Ynys Môn,1656.9747289280024,2.7
Saudi Arabia,1655.4254274246755,1.65
Mali,1655.1003706740878,1.6
Isle of Man,1652.7897490606088,1.95
Northern Cyprus,1649.064534829167,2.05
New Zealand,1642.41255673109,1.0
United Arab Emirates,1641.1422640426242,1.4
Georgia,1638.313294927649,1.2000000000000002
Padania,1637.909846792037,1.9
Bolivia,1637.387113606504,1.3
Occitania,1636.9375979564502,2.25
Albania,1634.3761589026492,2.0
Jamaica,1632.5373999405117,1.95
South Africa,1629.2702753453696,1.95
Isle of Wight,1626.1330834694795,2.5
Burkina Faso,1625.5684922445064,2.35
Honduras,1622.599985930017,1.7000000000000002
Andalusia,1620.9753120068438,2.3
Cape Verde,1618.8266575858304,1.85
Romania,1616.9371837530962,1.6
Kernow,1609.167001170301,2.3125
Bosnia and Herzegovina,1604.9192572608397,1.9
Oman,1604.5203125276212,1.15
Israel,1602.5130278913832,1.6
Iraqi Kurdistan,1601.3860171881483,1.7999999999999998
Haiti,1599.5287444950884,1.35
Abkhazia,1597.6035159260134,2.0
Qatar,1593.0915685306145,1.2
Northern Ireland,1589.8235457082285,1.15
Guatemala,1589.7327928290604,1.2
North Macedonia,1586.0770512284514,1.5
Iceland,1581.8629865885032,1.0
Rhodes,1577.2495720266988,2.1
County of Nice,1574.6404088195943,2.270833333333333
Kárpátalja,1572.9523499241675,1.8388888888888888
Réunion,1565.5774439673503,2.1
Ghana,1563.5565686789616,1.65
Finland,1559.896019984114,1.15
Yorkshire,1558.8975270345077,2.25
Thailand,1558.8607184709774,1.95
Corsica,1558.4087894392703,1.7142857142857142
German DR,1557.0641317537988,2.083333333333333
Ellan Vannin,1557.032192875896,1.35
Angola,1554.8897558108692,1.05
Artsakh,1551.0709601606884,1.5499999999999998
Syria,1550.608370430132,2.2
Czechoslovakia,1549.9934264325746,1.5499999999999998
Galicia,1549.988586989151,1.6
Malaysia,1544.4724739945846,1.9
China PR,1544.2941158015042,1.15
Vietnam,1542.918807069382,2.7
Suriname,1540.6257155849162,1.25
Arameans Suryoye,1538.8600823174595,1.6527777777777777
Palestine,1537.2936523586675,1.35
New Caledonia,1536.384450515129,2.15
Panjab,1533.9332052999164,1.2999999999999998
Bulgaria,1532.5263715731337,0.4499999999999999
Yugoslavia,1531.3010942799117,2.0
Cascadia,1530.550977878661,1.7333333333333334
Maule Sur,1530.496882908794,3.0
Bahrain,1530.1186629978854,0.55
Belarus,1528.9716116793577,1.1
Libya,1528.608438565345,1.6
Menorca,1528.3748168683055,1.5499999999999998
Zanzibar,1527.096027241612,1.65
Curaçao,1525.807812389362,1.6
Guinea,1524.197249767977,1.5
Benin,1522.2861155951248,1.35
Canary Islands,1519.6555252801395,2.0
Biafra,1517.5570184124315,0.75
Chameria,1517.1158409291638,1.4666666666666668
Brittany,1516.7637731636446,1.7
Gabon,1515.7614824630114,1.3
Surrey,1514.4209805149003,1.5
Parishes of Jersey,1514.3829154314492,2.25
Crimea,1512.2197457182892,2.25
Tahiti,1511.445707708324,1.9
Elba Island,1510.7253330472254,1.5
Trinidad and Tobago,1509.8605839253914,1.0
Felvidék,1509.6923517421417,1.2375
Zambia,1509.680225556879,1.05
Silesia,1508.8673921116635,1.5
Donetsk PR,1507.9999014075086,1.0
Montenegro,1507.085647012638,1.3
Franconia,1504.4988117638236,1.5
Tamil Eelam,1502.6600233093436,1.5
Sealand,1502.6432045992988,1.2125
Guadeloupe,1502.5654827868827,1.75
Mapuche,1500.736306793522,0.0
Matabeleland,1500.5250710145042,1.2857142857142856
Gambia,1499.0274680701634,1.8
United Koreans in Japan,1497.9697136132538,1.1611111111111112
Saugeais,1497.9258847401725,1.5
Délvidék,1496.2591306744423,3.0
Kuwait,1495.5072882296754,0.95
West Papua,1494.254860001317,1.5
North Korea,1492.279466569373,0.35
Uganda,1490.6867340777724,1.5
Western Sahara,1490.0727657810792,1.25
Madrid,1488.8976477018807,1.5
South Ossetia,1488.6962408669842,1.25
Shetland,1487.6522298160264,1.15
Madagascar,1486.2915665366666,1.5
Western Armenia,1486.1382118919803,1.45
Åland Islands,1485.3620347883,1.05
Luhansk PR,1485.0951862658883,0.9
Cilento,1485.0447320543649,1.5
Indonesia,1484.584987558632,1.2000000000000002
Ryūkyū,1483.7049665148384,1.5
Somaliland,1483.5855575362216,1.2
Seborga,1483.3555684849462,1.5
Yoruba Nation,1483.3285161663016,1.0
Gozo,1480.4873392531958,1.3
Republic of St. Pauli,1480.3676280167629,1.3333333333333333
Mozambique,1480.0806432657769,1.0
